nombre;clase;tipo;id_ubicacion
LA SIBERIA;Aguas superficiales;Quebrada;1
QUEBRADA CAIMITAL;Aguas superficiales;Quebrada;18
LA RAIZ O SAN AGUSTIN;Aguas superficiales;Quebrada;22
LOS NEGROS;Aguas superficiales;Quebrada;44
LOS ANGELES ;Aguas superficiales;Quebrada;46
QUEBRADA LA SIERRA;Aguas superficiales;Quebrada;59
QUEBRADA LAS YANGUAS;Aguas superficiales;Quebrada;71
POZO PROFUNDO;Aguas superficiales;Quebrada;90
LOS ROBLES;Aguas superficiales;Quebrada;99
QUEBRADA EL TAURETE;Aguas superficiales;Quebrada;100
POZO PROFUNDO;Aguas subterráneas;Pozo Profundo;105
 BOMBAY;Aguas superficiales;Quebrada;109
QUEBRADA EL OSO;Aguas superficiales;Quebrada;135
QUEBRADA LA UNION;Aguas superficiales;Quebrada;138
QUEBRADA EL AGUACATAL;Aguas marinas;Mar;141
LA SIERRA ;Aguas superficiales;Quebrada;158
LA ESTRELLA;Aguas subterráneas;Nacimiento de agua;159
QUEBRADA DOPO;Aguas superficiales;Quebrada;177
EL DELIRIO;Aguas superficiales;Quebrada;178
LA CRISTALINA;Aguas superficiales;Quebrada;188
QUEBRADA CARBONERO;Aguas superficiales;Quebrada;191
QUEBRADA OTOVAL;Aguas superficiales;Quebrada;196
CARPATOS;Aguas superficiales;Quebrada;199
QUEBRADA EL CHOCHO;Aguas superficiales;Quebrada;201
QUEBRADA EMBOSCADA Y QUEBRADA SINAI;Aguas superficiales;Quebrada;203
QUEBRADA SANTA ANA;Aguas superficiales;Quebrada;209
AGUACATAL ;Aguas superficiales;Rio;212
CALIMITA;Aguas superficiales;Quebrada;213
QUEBRADA LA VIGIA;Aguas superficiales;Quebrada;218
SONORA;Aguas superficiales;Quebrada;220
QUEBRADA LA VIRGEN;Aguas superficiales;Quebrada;221
POZO VC 817;Aguas subterráneas;Pozo Profundo;231
LA SOLEDAD ;Aguas superficiales;Quebrada;233
QUEBRADA CURAZAO;Aguas superficiales;Quebrada;239
NACIMIENTO KINDSTON;Aguas superficiales;Ojo de agua;243
EL JARDÍN;Aguas superficiales;Quebrada;245
QUEBRADA  GUERRERO;Aguas superficiales;Quebrada;246
NACIMIENTO # 4;Aguas subterráneas;Nacimiento de agua;247
EL SILENCIO -  LA CRISTALINA;Aguas superficiales;Quebrada;249
SANTA INES;Aguas superficiales;Quebrada;252
NACIMIENTO LA ROSITA;Aguas subterráneas;Nacimiento de agua;264
 ALTAMIRA;Aguas superficiales;Quebrada;271
EPAMINONDAS;Aguas superficiales;Quebrada;273
RIO CAUCA;Aguas superficiales;Rio;276
RIO SONSITO;Aguas superficiales;Rio;282
TRES ESQUINAS POZO PROFUNDO;Aguas subterráneas;Pozo Profundo;297
LA ESMERALDA;Aguas superficiales;Quebrada;302
LA LORENA;Aguas superficiales;Quebrada;304
PIJAO;Aguas superficiales;Rio;307
