id_prestador;nit;id_sspd;id_autoridad_sanitaria;nombre;nombre_sistema;direccion;telefono;codigo_sistema;codigo_anterior;id_ubicacion
1;2654254;No Registra;108873;ACUEDUCTO RURAL VDA VENTAQUEMADA SISTEMA # 2 - LA SIBERIA;SISTEMA # 2 EL ROBLE ;VEREDA EL ROBLE;;1892;108873;1
2;16288231;No Registra;;ACUEDUCTO RURAL EL DIAMANTE;ACUEDCUTO RURAL EL DIAMANTE;VEREDA EL DIAMANTE;3136602779;3568;145147;2
3;31412752;No Registra;117582;ACUEDUCTO RURAL SANTA ELENA;;VEREDA SANTA ELENA;3137834277;;;3
4;66714559;No Registra;;ASODACION DE USUARIOS DEL ACUEDUCTO RURAL CAMPESINO DE LA VEREDA LA JUDEA;;VEREDEA LA JUDEA;3128144136;;;4
5;94262254;No Registra;;JUNTA DE ACCION COMUNAL LLANO GRANDE  ACUEDUCTO SANTA CLARA 2;;VERDA LLANO GRANDE ;3218637000;;;5
6;94262865;No Registra;;JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL LA JUDEA ALTA, LA PALMERA Y EL BRILLANTE;ACUEDUCTO RURAL LA JUDEA ALTA #2;VEREDA LA JUDEA ALTA;3217724866;2615;148293;6
7;1112957550;;112843;FLAUTAS AGUAS E.S.P.  S.A.                        ;;VEREDA FLAUTAS - CORREGIMIENTO LA SELVA;3215143755;2875;112843;7
8;14960560;;124279;CONJUNTO CAMPESTRE AMBICHINTE;;BORRERO AYERBE - KM 28 ANTIGUA VIA AL MAR;3145838221;;;8
9;16267914;;120696;JUNTA ADMINISTRADORA ACUEDUCTO VEREDA EL DIAMANTE            ;;VEREDA EL DIAMANTE - BITACO;3217127745;;;9
10;16850015;No Registra;121662;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA CAIMITAL SECTOR COLEGIO 20 DE JULIO - ASUARCAIM;;VEREDA CAIMITAL - SECTOR COLEGIO 20 DE JULIO;3112496057;;;10
11;29113558;;121850;JUNTA ADMINISTRADORA COMUNITARIA ACUEDUCTO TRESQUEBRADAS - LA FRESNEDA;TANQUE TRES QUEBRADAS ;LA FRESNEDA - VEREDA TRESQUEBRADAS;3223304222;2894;121850;11
12;29582860;;129449;ACUEDUCTO COMUNITARIO EL RETIRO PARTE BAJA - ASORETIRO;;VEREDA EL RETIRO;3184277086;;;12
13;312014660;No Registra;112959;ASOCIACION DE USUARIOS DEL SERVICIO DE ACUEDUCTO EL TRAPICHE LA YOLOMBA;;VEREDA LA YOLOMBA;3173130702;;;13
14;324728300;No Registra;128094;ASOCIACION DE USUARIOS NACIMIENTO LA ROSITA, VEREDA YERBABUENA EL PALMAR;; VEREDA YERBABUENA EL PALMAR;315601155;;;14
15;6246684;No Registra;145509;JUNTA DE ACCIÓN COMUNAL VEREDA LA ESMERALDA;JUNTA DE ACCION COMUNAL VEREDA LA ESMERALDA;CORREGIMIENTO PROVIDENCIA - VEREDA ESMERALDA;3147566421;344;145509;15
16;6316914;No Registra;104287;JUNTA ADMINISTRADORA LOCAL DE LA VEREDA CAMPOALEGRE;;VEREDA CAMPOALEGRE;3106236701;;;16
17;6340234;;32461;JUNTA ADMINISTRADORA DE ACUEDUCTO EL RETIRO PARTE ALTA;;VEREDA EL RETIRO - CORREGIMIENTO BITACO;3153571297;;;17
18;6423840;;51210;JUNTA ADMINISTRADORA COMUNITARIA DEL ACUEDUCTO MOZAMBIQUE - J.A.C.A. N° 1;MOZAMBIQUE- JACA 1;CORREGIMIENTO MOZAMBIQUE;3137159883;8947;51210;18
19;76041001100;No Registra;0011;JUNTA ADMON ACUEDUCTO EL TIGRE ;ACUEDUCTO RURAL VEREDA BAJO TIGRE;VEREDA EL TIGRE;3117502170;3459;143327;19
20;76041009100;No Registra;126849;ACUEDUCTO RURAL EL DIAMANTE;JUNTA DE ACCION COMUNAL ACUEDUCTO EL DIAMANTE;VEREDA EL DIAMANTE;3114169237;2158;126849;20
21;76041030100;No Registra;103903;"ACUEDUCTO VEREDA LAS PALOMAS-EL BOSQUE																			";ACUEDUCTO RURAL VEREDA LAS PALOMAS- EL BOSQUE;VEREDA LAS PALOMAS/ EL BOSQUE;3174703306;2160;116852;21
22;76041035100;;81280;ACUEDUCTO COMUNITARIO SALAZAR;ACUEDUCTO BARRIO SALAZAR;BARRIO SALAZAR ;3116306469;2161;81280;22
23;76041998100;;88266;ASOCIACIÓN GESTIÓN COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL  LA POPALITA ;ASOCIACIÓN DE GESTIÓN COMUNITARIO DEL AGUA DE LA POPALITA;VEREDA LA POPALITA ;3104453218;3457;88266;23
