departamento;municipio;vereda
VALLE;TORO;EL ROBLE
VALLE;EL CAIRO;EL DIAMANTE
VALLE;EL AGUILA;SIN DATO
VALLE;RIOFRIO;SIN DATO
VALLE;EL AGUILA;NO APLICA
VALLE;EL AGUILA;SIN DATO
VALLE;GINEBRA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;LA CUMBRE;EL DIAMANTE
VALLE;VIJES;NO APLICA
VALLE;VIJES;SIN DATO
VALLE;LA CUMBRE;EL RETIRO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;GINEBRA;EXPANSION URBANA
VALLE;LA CUMBRE;EL RETIRO
VALLE;VIJES;MOZAMBIQUE
VALLE;ANSERMANUEVO;ALTO TIGRE
VALLE;ANSERMANUEVO;EL DIAMANTE
VALLE;ANSERMANUEVO;LAS PALOMAS
VALLE;ANSERMANUEVO;SALAZAR
VALLE;ANSERMANUEVO;SIN DATO
VALLE;ANSERMANUEVO;SIN DATO
VALLE;ARGELIA;SIN DATO
VALLE;BUENAVENTURA;SIN DATO
VALLE;BUENAVENTURA;NO APLICA
VALLE;GUADALAJARA DE BUGA;MONTERREY
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;CAICEDONIA;LA DELFINA
VALLE;CAICEDONIA;LA SUIZA
VALLE;CAICEDONIA;LIMONES
VALLE;CAICEDONIA;SIN DATO
VALLE;CAICEDONIA;SIN DATO
VALLE;CAICEDONIA;SIN DATO
VALLE;CALIMA;LA ITALIA
VALLE;CALIMA;LA CRISTALINA
VALLE;CALIMA;EL BOLEO
VALLE;CALIMA;SIN DATO
VALLE;CALIMA;SIN DATO
VALLE;CANDELARIA;SIN DATO
VALLE;CARTAGO;CAUCA
VALLE;CARTAGO;COLORADAS
VALLE;CARTAGO;MODIN
VALLE;CARTAGO;SIN DATO
VALLE;CARTAGO;SIN DATO
VALLE;DAGUA;PROVIDENCIA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;EL AGUILA;NO APLICA
VALLE;YOTOCO;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;EL AGUILA;NO APLICA
VALLE;EL AGUILA;SIN DATO
VALLE;EL AGUILA;NO APLICA
VALLE;EL AGUILA;NO APLICA
VALLE;EL AGUILA;NO APLICA
VALLE;EL AGUILA;SIN DATO
VALLE;EL CAIRO;LA GUARDIA
VALLE;EL CAIRO;LA PALMERA
VALLE;EL CAIRO;SAN JOSÉ DEL CAIRO
VALLE;EL CAIRO;SIN DATO
VALLE;EL CERRITO;SIN DATO
VALLE;EL CERRITO;SIN DATO
VALLE;EL CERRITO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;EL CASTILLO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;GINEBRA;COCUYOS
VALLE;GINEBRA;COCUYOS
VALLE;GINEBRA;SIN DATO
VALLE;GINEBRA;SIN DATO
VALLE;GINEBRA;SIN DATO
VALLE;GINEBRA;EXPANSION URBANA
VALLE;GINEBRA;SIN DATO
VALLE;GUACARI;CHAFALOTE
VALLE;JAMUNDI;NO APLICA
VALLE;LA CUMBRE;CHICORAL
VALLE;LA UNION;CORCEGA
VALLE;LA UNION;SIN DATO
VALLE;LA VICTORIA;SIN DATO
VALLE;LA VICTORIA;SIN DATO
VALLE;OBANDO;SIN DATO
VALLE;PALMIRA;BOLO - ALIZAL
